device_codename,brand,Retail Branding,Marketing Name,Device,oem,model,network_technology,network_2g_bands,network_gprs,network_edge,launch_announced,launch_status,body_dimensions,body_weight,body_sim,display_type,display_size,display_resolution,display,memory_card_slot,memory_phonebook,memory_call_records,sound_loudspeaker,sound_alert_types,sound_3.5mm_jack,comms_wlan,comms_bluetooth,comms_gps,comms_radio,comms_usb,features_sensors,features_messaging,features_browser,features_clock,features_alarm,features_games,features_java,features,misc_colors,network_3g_bands,network_speed,platform_os,platform_chipset,platform_cpu,platform_gpu,memory_internal,main_camera_single,main_camera_video,misc_price,main_camera_features,body,network_4g_bands,body_build,display_protection,memory,main_camera_dual,selfie_camera_dual,selfie_camera_features,selfie_camera_video,comms_nfc,battery_charging,misc_models,tests_performance,tests_camera,tests_loudspeaker,tests_audio_quality,tests_battery_life,tests_display,selfie_camera_single,comms_infrared_port,network_5g_bands,main_camera_quad,main_camera_triple,sound,misc_sar_eu,main_camera_five,features_languages,body_keyboard,misc_sar,battery,main_camera_dual_or_triple,battery_music_play,selfie_camera_triple,main_camera_v1,selfie_camera,camera,main_camera,network,battery_talk_time,battery_stand.by
land,Xiaomi,Xiaomi,Redmi 3s,land,Xiaomi,Redmi 3s,GSM / HSPA / LTE,GSM 900 / 1800 - SIM 1 & SIM 2,Yes,Yes,"2016, June","Available. Released 2016, June",139.3 x 69.6 x 8.5 mm (5.48 x 2.74 x 0.33 in),144 g (5.08 oz),"Hybrid Dual SIM (Micro-SIM/Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm (~71.1% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,"microSD, up to 256 GB (uses shared SIM slot)",,,Yes,,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.1, A2DP","Yes, with A-GPS, GLONASS, BDS",FM radio,microUSB 2.0,"Accelerometer, gyro, proximity, compass",,,,,,,,"Gold, Dark Gray, Silver",HSDPA 900 / 2100,"HSPA, LTE",Android 6.0.1 (Marshmallow); MIUI 9.2,Qualcomm MSM8937 Snapdragon 430 (28 nm),Octa-core 1.4 GHz Cortex-A53,Adreno 505,"16 GB, 2 GB RAM","13 MP, PDAF, f/2.0",1080p@30fps,About 120 EUR,"LED flash, HDR, panorama",,"LTE band 3(1800), 5(850), 40(2300) - India","Front glass, aluminum body",,,,,,1080p@30fps,,Fast battery charging 5V/2A 10W,Redmi 3S,Basemark OS II: 882 / Basemark OS II 2.0: 882Basemark X: 7263,Photo / Video,Voice 66dB / Noise 70dB / Ring 70dB,Noise -94.3dB / Crosstalk -91.8dB,Endurance rating 104h,"Contrast ratio: 1087:1 (nominal), 2.913 (sunlight)","5 MP, f/2.2",Yes,,,,Active noise cancellation with dedicated mic,0.62 W/kg (head)     0.43 W/kg (body)    ,,,,,Non-removable Li-Ion 4100 mAh battery,,,,,,,,,,
on7xelte,samsung,Samsung,Galaxy J7 Prime,on7xelte,Samsung,Galaxy J7 Prime,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),Yes,Yes,"2016, August","Available. Released 2016, September",151.7 x 75 x 8 mm (5.97 x 2.95 x 0.31 in),167 g (5.89 oz),"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)","PLS TFT capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm (~73.3% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",,"microSD, up to 256 GB (dedicated slot)",,,Yes,,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.1, A2DP, LE","Yes, with A-GPS, GLONASS, BDS",FM radio,"microUSB 2.0, USB On-The-Go","Fingerprint (front-mounted), accelerometer, proximity",,,,,,,ANT+,"Black, Gold, Rose Gold",HSDPA 850 / 900 / 1900 / 2100,"HSPA, LTE Cat4 150/50 Mbps","Android 6.0.1 (Marshmallow), upgradable to 7.0 (Nougat)",Exynos 7870 Octa (14 nm),Octa-core 1.6 GHz Cortex-A53,Mali-T830 MP1,"16/32 GB, 3 GB RAM","13 MP, f/1.9, 28mm (wide), AF",1080p@30fps,About 140 EUR,"LED flash, panorama, HDR",,"LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 20(800), 38(2600), 40(2300)","Front glass, aluminum body, plastic ends",Corning Gorilla Glass (market dependent),,,,,,,,"SM-G610F, SM-G610Y, SM-G610M, SM-J727T1",,,,,,,"8 MP, f/1.9",,,,,,0.40 W/kg (head)     1.40 W/kg (body)    ,,,,0.65 W/kg (head)    ,Non-removable Li-Ion 3300 mAh battery,,Up to 84 h,,,,,,,Up to 21 h (3G),
golden,samsung,Samsung,I8200 Galaxy S III mini VE,golden,Samsung,I8200 Galaxy S III mini VE,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,Yes,Yes,"2014, March","Available. Released 2014, March",121.6 x 63 x 9.9 mm (4.79 x 2.48 x 0.39 in),112 g (3.95 oz),Mini-SIM,"Super AMOLED capacitive touchscreen, 16M colors","4.0 inches, 45.5 cm (~59.4% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~233 ppi density)",,"microSD, up to 32 GB (dedicated slot)",,,Yes,,Yes,"Wi-Fi 802.11 a/b/g/n, dual-band, Wi-Fi Direct, hotspot","4.0, A2DP, EDR, LE, aptX","Yes, with A-GPS, GLONASS","Stereo FM radio, RDS",microUSB 2.0,"Accelerometer, gyro, proximity, compass",,,,,,,,"White, Blue, Gray, Black",HSDPA 900 / 1900 / 2100,HSPA 21.1/5.76 Mbps,Android 4.2.2 (Jelly Bean),,1.2 GHz dual-core Cortex-A9,,"8/16 GB, 1 GB RAM","5 MP, AF",720p@30fps,About 180 EUR,"LED flash, panorama",,,,,,,,,,Yes (I8200N only),,GT-I8200,,,,,,,VGA,,,,,,0.64 W/kg (head)     0.53 W/kg (body)    ,,,,1.14 W/kg (head)     1.24 W/kg (body)    ,Removable Li-Ion 1500 mAh battery,,Up to 57 h,,,,,,,Up to 8 h (3G),Up to 320 h (3G)
j5lte,samsung,Samsung,Galaxy J5,j5lte,Samsung,Galaxy J5,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),Yes,Yes,"2015, June","Available. Released 2015, June",142.1 x 71.8 x 7.9 mm (5.59 x 2.83 x 0.31 in),146 g (5.15 oz),"Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)","Super AMOLED capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm (~67.5% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,"microSD, up to 256 GB (dedicated slot)",,,Yes,,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.1, A2DP","Yes, with A-GPS, GLONASS, BDS","FM radio, RDS, recording","microUSB 2.0, USB On-The-Go","Accelerometer, proximity",,,,,,,ANT+,"White, Black, Gold",HSDPA 850 / 900 / 1900 / 2100,"HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps","Android 5.1 (Lollipop), upgradable to 6.0.1 (Marshmallow)",Qualcomm MSM8916 Snapdragon 410 (28 nm),Quad-core 1.2 GHz Cortex-A53,Adreno 306,"8/16 GB, 1.5 GB RAM","13 MP, f/1.9, 28mm (wide), AF",1080p@30fps,About 160 EUR,LED flash,,"LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 20(800)",Plastic body,,,,,LED flash,,Yes (market dependent),,"SM-J500F, SM-J500G, SM-J500FN, SM-J500Y, SM-J500M, J500S, SM-J500H, SM-J5007",,,,,,,"5 MP, f/2.2, 23mm (wide)",,,,,Active noise cancellation with dedicated mic,0.61 W/kg (head)     0.48 W/kg (body)    ,,,,0.80 W/kg (head)     1.13 W/kg (body)    ,Removable Li-Ion 2600 mAh battery,,Up to 62 h,,,,,,,Up to 18 h (3G),
grandneove3g,samsung,Samsung,Galaxy Grand Neo,grandneove3g,Samsung,Galaxy Grand Neo,GSM / HSPA,"GSM 850 / 900 / 1800 / 1900 - I9060, I9060I",Yes,Yes,"2014, January","Available. Released 2014, February",143.7 x 77.1 x 9.6 mm (5.66 x 3.04 x 0.38 in),163 g (5.75 oz),"Single SIM (Mini-SIM) or Dual SIM (Mini-SIM, dual stand-by)","TFT capacitive touchscreen, 16M colors","5.01 inches, 71.4 cm (~64.5% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~186 ppi density)",,"microSD, up to 64 GB (dedicated slot)",,,Yes,,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.0, A2DP, LE","Yes, with A-GPS, GLONASS",FM radio,microUSB 2.0,"Accelerometer, proximity, compass",,,,,,,,"White, Midnight Black, Orange, Lime Green",HSDPA 900 / 2100,HSPA 21.1/5.76 Mbps,Android 4.2 (Jelly Bean)Android 4.4.4 (KitKat) - GT-I9060I,Broadcom BCM23550Spreadtrum SC8830 - GT-I9060I,Quad-core 1.2 GHz Cortex-A7,Broadcom VideoCore IVMali-400MP2 - GT-I9060I,"8/16 GB, 1 GB RAM","5 MP, AF, f/2.6",720p@30fps,About 130 EUR,LED flash,,,Plastic body,,,,,,,,,"GT-I9060I, GT-I9062, GT-I9060",,Photo / Video,Voice 72dB / Noise 65dB / Ring 73dB,,Endurance rating 59h,"Contrast ratio: 786:1 (nominal), 1.393 (sunlight)","VGA/ 2 MP, GT-I9060I",,,,,,0.21 W/kg (head)     0.32 W/kg (body)    ,,,,,Removable Li-Ion 2100 mAh battery,,Up to 38 h,,,,,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 - I9062,Up to 11 h,Up to 430 h
mido,xiaomi,Xiaomi,Redmi Note 4,mido,Xiaomi,Redmi Note 4,GSM / HSPA / LTE,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2017, January","Available. Released 2017, January",151 x 76 x 8.5 mm (5.94 x 2.99 x 0.33 in),165 g (5.82 oz),"Hybrid Dual SIM (Micro-SIM/Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm (~72.7% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",,"microSD, up to 256 GB (uses shared SIM slot)",,,Yes,,Yes,"Wi-Fi 802.11 a/b/g/n, Wi-Fi Direct, hotspot","4.1, A2DP, LE","Yes, with A-GPS, GLONASS, BDS",FM radio,"microUSB 2.0, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",,,,,,,,"Dark Gray, Gold, Black, Lake Blue (64/4GB model)",HSDPA 850 / 900 / 1900 / 2100,"HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 300/50 Mbps","Android 6.0 (Marshmallow), upgradable to 7.0 (Nougat); MIUI 10",Qualcomm MSM8953 Snapdragon 625 (14 nm),Octa-core 2.0 GHz Cortex-A53,Adreno 506,"64 GB, 4 GB RAM or 32 GB, 3 GB RAM; 64 GB, 3 GB RAM (China only)","13 MP, f/2.0, 1.12µm, PDAF","1080p@30fps, 720p@120fps",About 150 EUR,"Dual-LED dual-tone flash, panorama, HDR",,"LTE band 1(2100), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 20(800), 38(2600), 40(2300)","Front glass, aluminum body",,,,,,1080p@30fps,,,Redmi Note 4,Basemark OS II: 1290 / Basemark OS II 2.0: 1050Basemark X: 10446,Photo / Video,Voice 67dB / Noise 70dB / Ring 81dB,Noise -94.6dB / Crosstalk -94.3dB,Endurance rating 119h,"Contrast ratio: 1503:1 (nominal), 2.714 (sunlight)","5 MP, f/2.0",Yes,,,,24-bit/192kHz audio  Active noise cancellation with dedicated mic,,,,,,Non-removable Li-Po 4100 mAh battery,,,,,,,,,,
1606,vivo,Vivo,Y53,1606,Vivo,Y53,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2017, March","Available. Released 2017, March",144.2 x 71.4 x 7.6 mm (5.68 x 2.81 x 0.30 in),137 g (4.83 oz),"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm (~66.9% screen-to-body ratio)","540 x 960 pixels, 16:9 ratio (~220 ppi density)",,"microSD, up to 256 GB (dedicated slot)",,,Yes,,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.2, A2DP, LE","Yes, with A-GPS, GLONASS, BDS",FM radio,"microUSB 2.0, USB On-The-Go","Accelerometer, proximity, compass",,,,,,,,"Crown Gold, Matte Black",HSDPA 850 / 900 / 2100,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",Android 6 (Marshmallow); Funtouch 3,Qualcomm MSM8917 Snapdragon 425 (28 nm),Quad-core 1.4 GHz Cortex-A53,Adreno 306,"16 GB, 2 GB RAM","8 MP, AF, f/2.0",720p@30fps,About 9000 INR,"LED flash, HDR",,"LTE band 1(2100), 3(1800), 5(850), 40(2300)",,Corning Gorilla Glass 3,,,,,,,,,,,,,,,"5 MP, f/2.2",,,,,,,,,,,Non-removable Li-Ion 2500 mAh battery,,,,,,,,,,
ido,Xiaomi,Xiaomi,Redmi 3,ido,Xiaomi,Redmi 3,GSM / CDMA / HSPA / EVDO / LTE,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2016, January","Available. Released 2016, January",139.3 x 69.6 x 8.5 mm (5.48 x 2.74 x 0.33 in),144 g (5.08 oz),"Hybrid Dual SIM (Micro-SIM/Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm (~71.1% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,"microSD, up to 256 GB (uses shared SIM slot)",,,Yes,,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.1, A2DP","Yes, with A-GPS, GLONASS, BDS",FM radio,microUSB 2.0,"Accelerometer, gyro, proximity, compass",,,,,,,,"Gold, Dark Gray, Silver, Classic Gold",HSDPA 850 / 900 / 1900 / 2100,"HSPA, LTE, EV-DO Rev.A 3.1 Mbps",Android 5.1 (Lollipop); MIUI 7,Qualcomm MSM8939v2 Snapdragon 616 (28 nm),Octa-core (4x1.5 GHz Cortex-A53 & 4x1.2 GHz Cortex-A53),Adreno 405,"16 GB, 2 GB RAM","13 MP, PDAF, f/2.0",1080p@30fps,About 160 EUR,"LED flash, HDR, panorama",,"LTE band 1(2100), 3(1800), 7(2600), 38(2600), 39(1900), 40(2300), 41(2500)","Front glass, aluminum body",,,,,,1080p@30fps,,Fast battery charging 5V/2A 10W,Redmi 3,,Photo / Video,,,Endurance rating 107h,,"5 MP, f/2.2",Yes,,,,Active noise cancellation with dedicated mic,1.33 W/kg (head)    ,,,,,Non-removable Li-Ion 4100 mAh battery,,,,,,,,CDMA2000 1xEV-DO,,
on5xelte,samsung,Samsung,Galaxy J5 Prime,on5xelte,Samsung,Galaxy J5 Prime,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2016, September","Available. Released 2016, October",142.8 x 69.5 x 8.1 mm (5.62 x 2.74 x 0.32 in),143 g (5.04 oz),"Dual SIM (Nano-SIM, dual stand-by)","PLS TFT capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm (~69.4% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,"microSD, up to 256 GB (dedicated slot)",,,Yes,,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.2, A2DP, LE","Yes, with A-GPS, GLONASS/ BDS (region dependent)",FM radio; recording,"microUSB 2.0, USB On-The-Go","Fingerprint (front-mounted), accelerometer, proximity",,,,,,,,"Black, Gold",HSDPA 850 / 900 / 1900 / 2100,"HSPA, LTE Cat4 150/50 Mbps","Android 6.0.1 (Marshmallow), upgradable to Android 8.0 (Oreo)",Exynos 7570 Quad (14 nm),Quad-core 1.4 GHz Cortex-A53,Mali-T720 MP2,"16/32 GB, 2 GB RAM","13 MP, f/1.9, 28mm (wide), AF",1080p@30fps,About 120 EUR,"LED flash, panorama, HDR",,"LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 20(800), 38(2600), 40(2300) - EMEA, India","Front glass, aluminum body, plastic ends",Corning Gorilla Glass (market dependent),,,,,,,,"SM-G570F, SM-G570F/DD, SM-G570F, SM-G570Y, SM-G570M",,,,,,,"5 MP, f/2.2",,,,,,0.42 W/kg (head)     0.83 W/kg (body)    ,,,,0.71 W/kg (head)    ,Non-removable Li-Ion 2400 mAh battery,,Up to 54 h,,,,,,"LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 28(700), 38(2600), 40(2300) - Australia",Up to 16 h (3G),
nikel,Xiaomi,Xiaomi,Redmi Note 4,nikel,Xiaomi,Redmi Note 4,GSM / HSPA / LTE,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2017, January","Available. Released 2017, January",151 x 76 x 8.5 mm (5.94 x 2.99 x 0.33 in),165 g (5.82 oz),"Hybrid Dual SIM (Micro-SIM/Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm (~72.7% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",,"microSD, up to 256 GB (uses shared SIM slot)",,,Yes,,Yes,"Wi-Fi 802.11 a/b/g/n, Wi-Fi Direct, hotspot","4.1, A2DP, LE","Yes, with A-GPS, GLONASS, BDS",FM radio,"microUSB 2.0, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",,,,,,,,"Dark Gray, Gold, Black, Lake Blue (64/4GB model)",HSDPA 850 / 900 / 1900 / 2100,"HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 300/50 Mbps","Android 6.0 (Marshmallow), upgradable to 7.0 (Nougat); MIUI 10",Qualcomm MSM8953 Snapdragon 625 (14 nm),Octa-core 2.0 GHz Cortex-A53,Adreno 506,"64 GB, 4 GB RAM or 32 GB, 3 GB RAM; 64 GB, 3 GB RAM (China only)","13 MP, f/2.0, 1.12µm, PDAF","1080p@30fps, 720p@120fps",About 150 EUR,"Dual-LED dual-tone flash, panorama, HDR",,"LTE band 1(2100), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 20(800), 38(2600), 40(2300)","Front glass, aluminum body",,,,,,1080p@30fps,,,Redmi Note 4,Basemark OS II: 1290 / Basemark OS II 2.0: 1050Basemark X: 10446,Photo / Video,Voice 67dB / Noise 70dB / Ring 81dB,Noise -94.6dB / Crosstalk -94.3dB,Endurance rating 119h,"Contrast ratio: 1503:1 (nominal), 2.714 (sunlight)","5 MP, f/2.0",Yes,,,,24-bit/192kHz audio  Active noise cancellation with dedicated mic,,,,,,Non-removable Li-Po 4100 mAh battery,,,,,,,,,,
fortunave3g,samsung,Samsung,Galaxy Tab 3 Lite 7.0,fortunave3g,Samsung,Galaxy Tab 3 Lite 7.0,No cellular connectivity,,No,No,"2014, January","Available. Released 2014, February",193.4 x 116.4 x 9.7 mm (7.61 x 4.58 x 0.38 in),310 g (10.93 oz),No,"TFT capacitive touchscreen, 16M colors","7.0 inches, 137.9 cm (~61.3% screen-to-body ratio)","600 x 1024 pixels, 16:9 ratio (~170 ppi density)",,"microSD, up to 32 GB (dedicated slot)",,,Yes,,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.0, LE","Yes, with GLONASS",No,2.0,Accelerometer,,,,,,,,"White, Black, Green, Pink, Yellow",,,Android 4.2 (Jelly Bean),Marvell PXA986,Dual-core 1.2 GHz,Vivante GC1000,"8 GB, 1 GB RAM",2 MP,480p@24fps,About 150 EUR,,,,,,,,,,,,,SM-T110,,,,Noise -93.7dB / Crosstalk -93.9dB,,Contrast ratio: 574 (nominal),,,,,,,0.83 W/kg (body)    ,,,,1.10 W/kg (body)    ,Non-removable Li-Ion 3600 mAh battery,,Up to 200 h,,,No,,,,Up to 8 h (multimedia),
rolex,Xiaomi,Xiaomi,Redmi 4A,rolex,Xiaomi,Redmi 4A,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2016, November","Available. Released 2016, November",139.9 x 70.4 x 8.5 mm (5.51 x 2.77 x 0.33 in),131.5 g (4.66 oz),"Hybrid Dual SIM (Nano-SIM/ Micro-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.0 cm (~69.0% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~296 ppi density)",,"microSD, up to 256 GB (uses shared SIM slot)",,,Yes,,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.1, A2DP, LE","Yes, with A-GPS, GLONASS, BDS",FM radio,microUSB 2.0,"Accelerometer, gyro, proximity",,,,,,,,"Gold, Rose Gold, Dark Gray",HSDPA 850 / 900 / 1900 / 2100,"HSPA, LTE",Android 6.0.1 (Marshmallow); MIUI 10,Qualcomm MSM8917 Snapdragon 425 (28 nm),Quad-core 1.4 GHz Cortex-A53,Adreno 308,"16/32 GB, 2 GB RAM","13 MP, AF, f/2.2",1080p@30fps,About 110 EUR,"LED flash, HDR, panorama",,"LTE band 1(2100), 3(1800), 4(1700/2100), 5(850), 7(2600), 20(800), 38(2600), 40(2300)",Plastic body,,,,,,,,,Redmi 4A,,Photo / Video,,,,,"5 MP, f/2.2",Yes,,,,Active noise cancellation with dedicated mic,,,,,,Non-removable Li-Ion 3120 mAh battery,,,,,,,,,,
j3xlte,samsung,Samsung,Galaxy J3 (2016),j3xlte,Samsung,Galaxy J3 (2016),GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),Yes,Yes,"2015, November","Available. Released 2016, January",142.3 x 71 x 7.9 mm (5.60 x 2.80 x 0.31 in),138 g (4.87 oz),"Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)Nano-SIM (USA models only)","Super AMOLED capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm (~68.2% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,"microSD, up to 256 GB (dedicated slot)",,,Yes,,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.0/4.1, A2DP, LE","Yes, with A-GPS, GLONASS","FM radio, RDS, recording (market dependent)","microUSB 2.0, USB On-The-Go","Accelerometer, proximity",,,,,,,,"White, Black, Gold",HSDPA 850 / 900 / 1900 / 2100,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","Android 5.1.1 (Lollipop) or Android 6.0 (Marshmallow), upgradable to 7.1.1 (Nougat)",Spreadtrum SC9830Exynos 3475 Quad (28 nm) - USA,Quad-core 1.5 GHz Cortex-A7Quad-core 1.3 GHz Cortex-A7 - USA,Mali-400Mali-T720 - USA,"8/16 GB, 1.5/2 GB RAM","8 MP, f/2.2, AF  5 MP, f/2.2, AF - USA",720p@30fps,About 120 EUR,"LED flash, HDR",,"LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 20(800)",Plastic body,Asahi Dragontrail Glass,,,,,720p@30fps,Yes (market dependent),,"SM-J320H, SM-J3109, SM-J320FN, SM-J320P, SM-J320F, SM-J320M, SM-J320Y, SM-J320A, SM-J320G, SM-J327T1",Basemark OS II: 399 / Basemark OS II 2.0: 326Basemark X: 1424,Photo / Video,Voice 64dB / Noise 65dB / Ring 68dB,Noise -92.4dB / Crosstalk -91.3dB,Endurance rating 66h,"Contrast ratio: Infinite (nominal), 3.523 (sunlight)","2 MP (USA)  5 MP, f/2.2 (all other regions)",,,,,Active noise cancellation with dedicated mic,0.48 W/kg (head)     0.42 W/kg (body)    ,,,,1.17 W/kg (head)     1.12 W/kg (body)    ,Removable Li-Ion 2600 mAh battery,,Up to 77 h,,,,,,,Up to 22 h,Up to 349 h
Z008_1,asus,Asus,Zenfone 2 ZE550ML,Z008_1,Asus,Zenfone 2 ZE550ML,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2015, March","Available. Released 2015, March",152.5 x 77.2 x 10.9 mm (6.00 x 3.04 x 0.43 in),170 g (6.00 oz),"Dual SIM (Micro-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm (~70.8% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~267 ppi density)",,"microSD, up to 256 GB (dedicated slot)",,,Yes,,Yes,"Wi-Fi 802.11 a/b/g/n/ac, Wi-Fi Direct, hotspot","4.0, A2DP, EDR","Yes, with A-GPS, GLONASS",FM radio,"microUSB 2.0, USB Host","Accelerometer, proximity, compass",,,,,,,,"Osmium Black, Glamor Red, Ceramic White",HSDPA 850 / 900 / 1900 / 2100,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","Android 5.0 (Lollipop), upgradable to 6.0 (Marshmallow); ZenUI",Intel Atom Z3560,Quad-core 1.8 GHz,PowerVR G6430,"16 GB, 2 GB RAM","13 MP, AF, f/2.0",1080p@30fps,About 250 EUR,"Dual-LED dual-tone flash, panorama, HDR",,"LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 8(900), 28(700) - Taiwan",,Corning Gorilla Glass 3,,,,,,,,"Z008D, Z008",,,,,,,"5 MP, f/2.0",,,,,,0.35 W/kg (head)    ,,,,,Non-removable Li-Po 3000 mAh battery,,,,,,,,"LTE band 1(2100), 3(1800), 38(2600), 39(1900), 40(2300), 41(2500) - China & India",,
ASUS_Z00RD_7,asus,Asus,Zenfone 2 Laser ZE500KG,ASUS_Z00RD_7,Asus,Zenfone 2 Laser ZE500KG,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2015, August","Available. Released 2015, October",143.7 x 71.5 x 10.5 mm (5.66 x 2.81 x 0.41 in),140 g (4.94 oz),"Dual SIM (Micro-SIM, dual stand-by)","TFT capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm (~67.1% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,"microSD, up to 256 GB (dedicated slot)",,,Yes,,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.0, A2DP, EDR","Yes, with A-GPS, GLONASS",FM radio,microUSB 2.0,"Accelerometer, compass",,,,,,,,"Black, Ceramic White, Silver, Sheer Gold, Glamour Red",HSDPA 850 / 900 / 1900 / 2100,HSPA 42.2/5.76 Mbps,"Android 5.0 (Lollipop), upgradable to 6.0 (Marshmallow); ZenUI",Qualcomm MSM8916 Snapdragon 410 (28 nm),Quad-core 1.2 GHz Cortex-A53,Adreno 306,"8/16 GB, 2 GB RAM","8 MP, laser AF, f/2.0",1080p@30fps,About 200 EUR,"Dual-LED dual-tone flash, panorama, HDR",,,,Corning Gorilla Glass 4,,,,,,,,Z00RD,,,,,,,"5 MP, f/2.0, AF",,,,,,,,,,,Removable Li-Ion 2040 mAh battery,,,,,,,,,,
